system,family,cv,setting,arm,comparator,n_seeds,seeds,endpoint,direction,arm_estimate,comparator_estimate,abs_diff,rel_pct,ci95,favorable_seeds,test,status,prereg,reference,artifact,regime,regime_basis,section,notes
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",oracle mFR (fr_oracle),ABF,16,400-415,integrated_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,32.6382,39.9663,-7.3281,-17.459,"[-21.67, -12.51]",15/16,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",matched-turnover sham (sham_practical),ABF,16,400-415,integrated_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,41.3159,39.9663,1.3496,2.596,"[-0.65, 9.22]",5/16,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,"TOST 90% CI [0.03, 8.88] -> NOT shown equivalent (fails on the HARMFUL side)"
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",matched-turnover sham (sham_oracle),ABF,16,400-415,integrated_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,40.3993,39.9663,0.433,3.234,"[-3.07, 6.06]",6/16,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,"TOST 90% CI [-1.91, 5.78] -> NOT shown equivalent (fails on the HARMFUL side)"
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",practical mFR (fr_estimated),its own matched-turnover sham (sham_practical),16,400-415,integrated_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,,,,-26.380,"[-28.89, -16.22]",16/16,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,"PREREGISTERED attribution statistic: identical event schedule and count, only the selection direction differs"
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",oracle mFR (fr_oracle),its own matched-turnover sham (sham_oracle),16,400-415,integrated_l2_f (time-integrated L2 free-energy error),lower is better; rel_pct<0 = arm better than comparator,,,,-21.078,"[-24.01, -16.23]",15/16,"paired per seed; bootstrap median, 10000 resamples, seed 20260803",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,"PREREGISTERED attribution statistic: identical event schedule and count, only the selection direction differs"
"WCA dimer, matched sham (Case IX)",many-body condensed phase,xi = dimer bond coordinate,"cell b1_h2: beta=1, h=2, w=2, M=100, a=1.5; N=1024; 120000 steps; FR rate 0.10",practical mFR (fr_estimated),ABF,16,400-415,n_round_trips (barrier round trips per run),lower is better; rel_pct<0 = arm better than comparator,789828,780387,9441,1.270,"[0.99, 1.50]",,"paired per seed; bootstrap median, 10000 resamples, independent stream (seed 20260804)",confirmatory,"results/wca_sham/PREREGISTRATION.md; frozen at 9e7496d, run at fc29d5e",cached thermodynamic-integration reference (cache/phase),results/wca_sham/sham/sham_summary.json,establishment-limited,state is reached by every arm (round trips equal within ~1.3%); the deficit is post-discovery representation,sec:wca_sham,"transport diagnostic, NOT an accuracy endpoint, so favorable_seeds is left empty (more crossings is not 'better'): mFR has MORE crossings than ABF on 15/16 seeds. A ~1% change in crossings alongside a >20% accuracy change is what the establishment reading rests on"
"WCA dimer, tuned production (Case III)",many-body condensed phase,xi = dimer bond coordinate,tuned production cell; N and budget per configs/wca_production.yaml,"practical mFR (fr_estimated, tuned)",ABF,10,"0-7,42,123",final l2_f (L2 free-energy error at the final budget),lower is better; rel_pct<0 = arm better than comparator,0.0361093,0.0835355,-0.0474262,-55.018,,10/10,matched-seed win rate; median gain over seeds,exploratory (hyperparameters selected on this study),none (pre-dates the preregistration practice),thermodynamic-integration reference,results/wca_production/summaries/winrates.csv,establishment-limited,"same system and mechanism as the preregistered sham test (Case IX), which supplies the controlled evidence",sec:case_wca,"hyperparameters were tuned here, so this is the exploratory positive that Case IX later re-tested on fresh seeds with nothing retuned"
WCA phase diagram cell b1_h1_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=1.0, h=1.0, M=100, beta*h=1.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0503455,0.100587,-0.0502415,-49.866,,4/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b1_h2_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=1.0, h=2.0, M=100, beta*h=2.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.04744,0.0918102,-0.0443702,-47.960,,4/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b1_h4_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=1.0, h=4.0, M=100, beta*h=4.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0465141,0.0954321,-0.048918,-51.270,,4/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b1_h6_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=1.0, h=6.0, M=100, beta*h=6.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0510132,0.095967,-0.0449538,-46.828,,4/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b2_h1_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=2.0, h=1.0, M=100, beta*h=2.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.013192,0.01299,0.000202,6.529,,1/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b2_h2_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=2.0, h=2.0, M=100, beta*h=4.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0160716,0.0126603,0.0034113,29.024,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b2_h4_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=2.0, h=4.0, M=100, beta*h=8.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0243447,0.0150268,0.0093179,61.492,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b2_h4_w2_n14_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=2.0, h=4.0, M=196, beta*h=8.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0263072,0.0151217,0.0111855,84.121,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b2_h4_w2_n7_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=2.0, h=4.0, M=49, beta*h=8.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0162238,0.0197944,-0.0035706,-24.376,,3/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b2_h6_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=2.0, h=6.0, M=100, beta*h=12.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0195607,0.0245903,-0.0050296,-20.425,,4/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b4_h1_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=4.0, h=1.0, M=100, beta*h=4.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0252536,0.0045487,0.0207049,488.781,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b4_h2_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=4.0, h=2.0, M=100, beta*h=8.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0282437,0.00823341,0.0200103,229.768,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b4_h4_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=4.0, h=4.0, M=100, beta*h=16.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.039662,0.0156346,0.0240274,156.013,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
WCA phase diagram cell b4_h6_w2_n10_a1.5,many-body condensed phase,xi = dimer bond coordinate,"beta=4.0, h=6.0, M=100, beta*h=24.0",practical mFR (fr_estimated),ABF,4,0-3,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.041363,0.0248985,0.0164645,69.104,,0/4,matched-seed median gain,exploratory (difficulty sweep),none; starvation thresholds are CLI defaults of analyze_wca_starvation.py,cached thermodynamic-integration reference (cache/phase),results/wca_phase_diagram/production/summaries/phase_main_table.csv,establishment-limited where starved,"matched-seed gain tracks MEASURED ABF baseline error (Spearman rho ~ +0.80), not nominal beta*h (rho ~ -0.57)",sec:wca_phase,"one of 14 cells; reported in full, favourable and unfavourable alike"
2-D metastability model (Case I),model potential,xi = x,"beta=4, N=1000, 100000 steps",practical mFR (estimated target),ABF,5,0-4,integrated L2(F) (time-integrated free-energy error),lower is better; rel_pct<0 = arm better than comparator,,,,-11.497,,,median over seeds of the per-config selection metric,exploratory (hyperparameters selected on this study),none,quadrature-exact reference,report/tables/report_numbers.json (from results/two_dim_xi_x/production_gpu/),ABF-sufficient,"ABF converges on the biased coordinate within the budget; the residual headroom is target DIRECTION, not support",sec:case_meta,"modest accelerator; the oracle target is best here, which is the signature of a target-quality rather than a support bottleneck"
2-D metastability model (Case I),model potential,xi = x,beta=4,oracle mFR (diagnostic control),ABF,5,0-4,integrated L2(F),lower is better; rel_pct<0 = arm better than comparator,,,,-16.611,,,median over seeds,diagnostic control,none,quadrature-exact reference,report/tables/report_numbers.json,ABF-sufficient,see the practical row,sec:case_meta,"NOT a deployable method: the oracle target is built from the reference free energy, i.e. the unknown being estimated"
"entropic bottleneck, beta=4 (Case II)",model potential,xi = x,"beta=4, narrow transverse channel",practical mFR (estimated target),ABF,,,final l2_f,lower is better; rel_pct<0 = arm better than comparator,,,,26.108,,,matched-seed median gain / win rate,exploratory (temperature sweep),none,analytic reference free energy and analytic conditional law,results/entropic_bottleneck/summaries/config_summary.csv,ABF-sufficient,"the transverse channel is smooth, so every walker reaches every x and there is no discovery barrier; what changes with beta is how fast the channel region is POPULATED. Inferred from the study's evidence, not produced by the frozen gateway classifier",sec:case_eb,mFR is mildly HARMFUL here: birth-death injects resampling noise into an estimator that is not starved
"entropic bottleneck, beta=8 (Case II)",model potential,xi = x,"beta=8, narrow transverse channel",practical mFR (estimated target),ABF,20,,final l2_f,lower is better; rel_pct<0 = arm better than comparator,0.0979785,0.201046,-0.103068,-51.266,,20/20,matched-seed median gain / win rate,exploratory (temperature sweep),none,analytic reference free energy and analytic conditional law,results/entropic_bottleneck/summaries/config_summary.csv,establishment-limited,"the transverse channel is smooth, so every walker reaches every x and there is no discovery barrier; what changes with beta is how fast the channel region is POPULATED. Inferred from the study's evidence, not produced by the frozen gateway classifier",sec:case_eb,"large gain; the uniform target nearly matches it and the ORACLE target is worse than ABF, so this is density correction, not free-energy-shape steering"
